"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","2013","2016","2020","2060","2068","2070","2090","2105","2110","2122","2158","2164","2170","2180","2230","2261","2282","6013","6053","6081","13063","30101","32003","34001","34015","35001","36029","39095","41007","41017","41051","42101","48029","49005","49035","49049","51700","53027","53033","53053","53057","53061","53063","53073"
"1",2020-05-09,2020,5.6767225248,190,3.60807442396895,NA,NA,NA,NA,NA,NA,0.5386769568,NA,0,1.286607168,NA,NA,3.8514384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-05-20,2020,6.5182163566,202,3.71196643040244,NA,NA,NA,NA,NA,NA,0.5471894437,NA,0.163043496,1.435099656,NA,NA,4.36395519,0.0089285709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-05-27,2020,7.5246889794,203,3.73037241039911,NA,NA,NA,NA,NA,NA,0.4374560733,NA,0.1739130411,1.761066175,NA,NA,5.15225369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-05-28,2020,8.4581809077,207,3.75050111616307,NA,NA,NA,NA,NA,NA,0.4901007406,NA,0.2292263648,2.3393104,NA,NA,5.37150602,0.0280373823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-05-30,2020,9.6981487093,210,3.67494092988361,NA,NA,NA,NA,NA,NA,0.899650363,NA,0.0967741863,3.68279136,NA,NA,5.0189328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-06-05,2020,14.3515036744,260,3.80218541159719,NA,NA,NA,NA,NA,NA,0.7743607674,NA,0.335755827,5.171930082,NA,NA,7.91639578,0.153061218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-06-06,2020,15.1889522861,262,3.72927639415681,NA,NA,NA,NA,NA,NA,0.6535433031,NA,0.150455943,7.16415748,NA,NA,7.22079556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-06-04,2122,8.23911996856,61,3.91129193823979,NA,NA,6.198917498,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49173554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54846693056,NA,NA,NA,NA,NA
"9",2020-06-05,2122,14.725941966,66,3.94223251098642,NA,NA,13.79070264,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935239326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-06-08,2122,6.7183633566,81,3.78458395685084,NA,NA,5.181220836,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3408284016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.196314119,NA,NA,NA,NA,NA
"11",2020-06-09,2122,7.805776258,83,3.84893485291445,NA,NA,5.580695476,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380038392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84504239,NA,NA,NA,NA,NA
"12",2020-05-09,2261,1.393949659,NA,3.04752922952508,NA,NA,1.013278208,NA,NA,NA,0.198459963,NA,NA,0.049107146,NA,NA,0.133104342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-05-04,2122,1.4721248384,21,3.60509836878916,NA,NA,1.3526217465,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109602102,0.0099009899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-05-07,2122,2.590092523,21,3.72239142356774,NA,NA,2.281687232,NA,NA,NA,0.195517233,NA,NA,NA,NA,NA,0.112888058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-05-10,2122,3.222113104,22,3.57037236857946,NA,NA,3.02970732,NA,NA,NA,NA,NA,0.035952066,NA,NA,NA,0.156453718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-05-12,2122,1.88271176,22,3.67654127465912,NA,NA,1.77847106,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1042407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-05-20,2013,0.020967398,NA,3.11593629964738,NA,NA,0.020967398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-05-27,2013,0.11941646,NA,1.73301797899238,NA,NA,0.020973148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098443312,NA,NA,NA,NA,NA
"19",2020-05-28,2013,0.021362193,NA,0.953483682695198,NA,NA,0.021362193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-05-30,2013,0.0235347,NA,0.904996140205703,NA,NA,0.0235347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-06-02,2013,0.070047171,NA,0.817875247997993,NA,NA,0.025163136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044884035,NA,NA,NA,NA
"22",2020-06-06,2013,0.05679453476,NA,0.76932686256677,NA,NA,0.029554386,NA,NA,NA,NA,NA,NA,0.02724014876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
