"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","5003","5007","5011","5013","5015","5017","5019","5023","5027","5031","5033","5035","5037","5041","5043","5045","5051","5053","5055","5057","5059","5061","5063","5069","5071","5075","5077","5079","5081","5085","5087","5091","5093","5099","5107","5111","5113","5115","5119","5121","5123","5125","5131","5133","5135","5139","5141","5143","5145","5149","22027","22061","22073","22111","26063","26099","26115","26147","26163","27137","28033","29069","29077","29097","29119","29145","29155","36019","36029","38095","39043","39095","39123","40001","40021","40041","40089","40097","40115","47045","47157","48037","48067","48113","48439","48443"
"1",2020-04-23,5069,176.928663394,135,3.82882223168217,0.141547276,NA,0.309723882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73170734,0.381909546,NA,NA,1.55098614,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.5662942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.60076461,NA,NA,0.6457304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-04-27,5069,202.275521575,151,3.84627737056141,0.170370369,NA,0.346007613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.024221424,0.75389046,NA,NA,1.82847192,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.94504846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.305556099,NA,NA,0.90195523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-05-05,5069,253.056579728,180,3.84817566335828,0.22096317,NA,0.57881773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.272255904,0.793698,NA,NA,2.03439376,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.66133296,NA,0.5134074,NA,NA,NA,NA,NA,NA,NA,NA,12.111698144,NA,NA,0.87001266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-05-11,5069,277.789146008,219,3.88527269510488,0.331103682,NA,0.6019656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.095360898,1.06900452,NA,NA,2.4625908,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.89587808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.222099836,NA,NA,1.111142592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-05-19,5069,318.355955099,477,3.94572862895755,0.261768092,NA,0.578125028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34025975,0.955841256,NA,NA,2.7069488,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.49292269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.54941112,NA,NA,1.470678363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-05-20,5069,304.335381159,478,3.9333168015341,0.36109557,NA,0.687500008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.323753156,1.141903152,NA,NA,2.4246576,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.10236922,NA,0.680622532,NA,NA,NA,NA,NA,NA,NA,NA,17.362209984,NA,NA,1.251269937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-05-31,5069,265.6564607489,496,3.80226442196064,0.255854798,NA,0.613722984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.347517753,0.931261231,0.9424703079,1.86097851,2.52140058,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.13705564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.97428238,NA,NA,2.071916565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-06-10,5069,315.162163017,545,3.98846989668042,0.563313632,NA,1.982332143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82113826,1.745652194,NA,NA,3.36161452,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.99243962,NA,0.959964736,NA,NA,NA,NA,NA,NA,NA,NA,31.683021264,NA,NA,3.052686648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-05-07,5119,158.445898085,566,3.80148295997831,0.230248306,NA,0.39711192,NA,NA,NA,1.710229632,4.817300472,NA,NA,NA,NA,NA,0.670864829,0.6792453,15.1876947,7.708638249,2.62572142,NA,NA,2.053484136,NA,0.31361286,28.9874922,0.938249697,NA,0.079787235,40.43773686,NA,16.1649532,NA,NA,NA,0.123167151,0.095522388,NA,NA,1.61019885,NA,NA,5.14451964,22.99681335,NA,NA,NA,NA,1.49536179,NA,3.9779439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-05-08,5119,157.974049051796,581,3.85313732825174,0.285946851,NA,0.38461536,NA,NA,NA,1.99356912,3.912204696,NA,NA,NA,NA,NA,0.700826464,0.558519336,14.5594946,6.264637938,2.85342405,NA,NA,1.975214978,NA,0.299663292,31.81068981,NA,NA,NA,39.136099993,NA,15.8729406,NA,NA,NA,0.147727278,0.101796405,NA,NA,1.576504785,NA,NA,5.082969456,23.47135537,NA,NA,NA,NA,1.483483482,NA,4.23430968,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.268055507796,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-05-10,5119,144.334256776808,604,3.73296348328511,0.388349496,NA,0.44776119,NA,NA,0.4509018,1.581728808,6.736525264,NA,NA,NA,NA,NA,0.87986464,0.623556594,11.6069136,8.65672839,1.73283045,NA,NA,1.542645234,NA,0.395939078,26.0843891,NA,NA,0.228956224,30.22944354,NA,12.3937785,NA,NA,NA,0.12716763,0.065965584,NA,NA,1.76662848,NA,NA,14.227797028,17.89084944,NA,NA,NA,0.863333358,1.73047303,NA,3.334379335,0.20304072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144310263808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-05-11,5119,197.567493232,607,3.78979778386053,0.451505034,NA,0.6019656,NA,NA,NA,2.390052291,8.70651736,NA,NA,NA,NA,NA,0.876288647,0.539592768,16.012924,10.816356602,3.2578026,NA,0.197727264,2.598591528,NA,0.435897442,35.38111221,NA,NA,NA,46.791749622,NA,17.1510192,NA,NA,NA,0.172233816,0.119880126,NA,NA,1.818123744,NA,NA,15.54151086,24.94464048,NA,NA,NA,1.476923112,2.495460526,NA,4.7896184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-05-14,5119,195.76985911,638,3.8290735408796,0.33663366,NA,0.35981308,NA,NA,NA,2.273093935,4.382331672,NA,NA,NA,NA,NA,0.696383532,0.690410934,15.342208,8.75296075,3.17592976,NA,NA,2.557717321,NA,0.568638686,42.68995274,NA,NA,NA,46.729310964,NA,16.02295596,NA,NA,NA,0.118387911,0.063522615,NA,NA,1.855979892,NA,NA,15.005170888,25.9780136,NA,NA,NA,2.3326253,1.48665816,NA,4.35115975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-05-18,5119,227.730133857,668,3.84682932779751,0.28701594,NA,0.558030494,NA,NA,NA,1.9830867,6.274568828,NA,NA,NA,NA,NA,0.67052979,0.589164786,18.07014664,10.036002759,3.3261152,NA,NA,2.585542212,NA,0.593813246,70.79517144,0.999539345,NA,NA,40.186523916,NA,16.76705445,NA,NA,NA,0.201207252,0.132663308,NA,NA,2.86746594,NA,NA,14.340011093,27.92730069,NA,NA,NA,1.686650132,2.166666736,NA,4.68586296,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-05-19,5119,253.251369642176,688,3.85803809446687,0.370838124,NA,0.484375008,NA,NA,NA,2.07100593,4.788365724,NA,NA,NA,NA,NA,0.810389628,0.603689202,18.02244304,9.48470436,3.29391456,NA,0.224845408,2.579308459,NA,0.692420222,75.30048882,NA,NA,0.377777763,55.211538756,NA,17.23215062,NA,NA,NA,0.20351526,0.095238096,NA,NA,2.950138132,NA,NA,21.345157688,28.43874765,NA,NA,NA,2.397062785,1.697479082,NA,4.4231922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152583125176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-05-26,5119,293.085602075,772,3.84543176692977,0.305045874,NA,0.648390931,NA,NA,0.883878296,3.106286123,12.86158137,NA,NA,NA,NA,NA,0.794979076,0.591780798,19.30589933,13.85389047,3.4280656,NA,0.3585218,3.0928647,NA,0.678652983,74.29999751,NA,NA,NA,58.66531778,NA,17.33614512,NA,NA,NA,0.222680404,0.287712272,NA,NA,4.479100842,NA,NA,28.76945435,34.64552322,NA,NA,NA,2.956945368,3.57869538,NA,4.91697726,3.017215218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-05-27,5119,273.336345246,778,3.86164376091966,0.271118714,NA,0.81615929,NA,NA,NA,2.152227766,5.466593655,NA,NA,NA,NA,NA,0.803905637,0.769736862,18.98949988,10.040890144,3.37676202,NA,NA,2.7195903,NA,0.698991031,72.48785103,0.889689364,NA,0.529411728,49.022862775,NA,17.12010015,NA,NA,NA,0.348631965,0.290060837,NA,NA,4.642230408,NA,NA,36.774627972,34.70450088,NA,NA,NA,3.930313452,1.403225746,NA,5.08736364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
