"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","9001","9003","9005","9007","9009","9011","9013","9015","25003","25007","25011","25013","25015","25019","25027","26099","26115","36019","36027","36029","36033","36063","36079","36089","36119","39043","39095","39123","44003","44007","44009","50011","50025"
"1",2020-04-22,9003,1033.77041799441,3686,3.17973141927457,119.939097136,NA,72.34393924,89.57708512,445.184322474,17.420380043,88.85332469,5.333518185,NA,NA,NA,187.80495732,7.14332828,NA,NA,NA,0.019807748289,NA,NA,0.150657758122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-04-23,9003,1078.930254931,3834,2.98595086437344,128.807270409,NA,80.732456,94.17327376,442.707184896,18.67183671,93.4134581,6.305703875,NA,NA,NA,204.529720032,9.277706361,NA,NA,NA,NA,NA,NA,0.311644788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"3",2020-04-24,9003,1104.76472757101,4059,3.01538369928225,120.65566472,NA,80.90204717,96.22822128,456.65444474,17.485757575,98.43190742,6.363412664,NA,NA,NA,218.375432704,9.186534818,NA,NA,NA,NA,0.02261188251,NA,0.32417957,NA,0.037922096,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0965909315,NA
"4",2020-04-27,9003,1150.42953122342,4545,2.05820865491133,120.59066916,NA,86.49569196,98.0350884,476.386457115,20.519198864,107.10120576,7.719985259,NA,NA,NA,223.323772296,9.635191575,NA,NA,NA,NA,0,NA,0.57206653014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05020430428,NA
"5",2020-04-28,9003,1343.19749280317,4581,3.30524670238783,155.980570642,NA,96.86904448,109.73564644,550.628484362,24.264038272,118.39183722,8.254950585,NA,NA,NA,266.4759168,11.314083846,NA,NA,NA,NA,0.05181346445,NA,1.173691618,0.008991654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04842341972,NA
"6",2020-04-30,9003,1357.290493836,4903,2.59858105643705,141.706493252,NA,102.02850431,115.61458294,557.10536408,24.745503552,120.67334704,9.313087688,4.427615027,NA,NA,268.472383912,12.579936036,NA,NA,NA,NA,NA,NA,0.623675999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"7",2020-05-01,9003,1465.71421697028,5216,3.37472923264398,149.203292112,NA,115.8711936,123.35799355,614.864495064,25.182774441,128.545398,9.901672308,NA,NA,NA,285.24088503,12.762259172,NA,NA,NA,NA,0.02566413543,NA,0.65175441285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106835145,NA
"8",2020-05-04,9003,1673.361008168,5400,3.31523153072935,168.63333404,NA,136.14286395,149.9714094,665.32599099,42.407587916,139.49467288,12.933239158,6.938037243,NA,NA,335.81876381,15.328101714,NA,NA,NA,NA,NA,NA,0.367007067,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-05-05,9003,1680.9474323732,5547,3.46933634955066,181.428257375,NA,130.105421,140.10244974,674.79388745,33.7583235,144.09560961,11.331573555,3.8056497922,NA,NA,345.292344456,15.277269216,NA,NA,NA,NA,0.030303,NA,0.860324879,0.010659568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055359232,NA
"10",2020-05-06,9003,1704.00325688184,5688,3.32291030146405,175.810828233,NA,133.6191506,144.95851384,685.30936619,34.023424995,152.41953146,12.61992858,NA,NA,NA,349.982020144,14.780672569,NA,NA,NA,NA,0.08982038,NA,0.379610275,0.01038961584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"11",2020-05-07,9003,1781.15047229071,5883,3.46029571979311,184.359580272,NA,138.1390231,142.4494698,724.081473445,36.982006677,156.69609172,12.70685199,4.279510144,NA,NA,365.22506732,15.332233866,NA,NA,NA,NA,0.05977010065,NA,0.785863113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05353074306,NA
"12",2020-05-08,9003,1836.6969613517,6020,3.4620318863238,185.328257187,NA,138.01782137,152.03146441,747.57243533,38.521519365,166.33854996,14.535812488,4.746782205,NA,NA,371.486867752,17.545095012,NA,NA,NA,NA,0.0635497107,NA,0.403307166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105499396,NA
"13",2020-05-11,9003,1831.85650932144,6437,3.18616490927896,177.627950094,NA,150.422587,150.78827428,758.144005152,41.04134216,154.28235714,16.005878592,NA,NA,NA,364.568980965,18.328920127,NA,NA,NA,NA,0.06818184144,NA,0.57803197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"14",2020-05-12,9003,1776.153409219,6597,3.23840008790089,180.261923118,NA,130.51929696,142.27581746,734.04502812,35.678961675,150.96450851,14.9609206,4.095999936,NA,NA,364.379737524,18.197920995,NA,NA,NA,NA,0.033969309,NA,0.574989324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164335688,NA
"15",2020-05-13,9003,1916.44177555488,6769,3.45489360695405,201.731707824,NA,140.95118839,148.97551466,778.692204525,38.938197528,165.72156174,14.984949766,NA,NA,NA,408.953268648,16.732405424,NA,NA,NA,NA,NA,NA,0.707819328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05295772188,NA
"16",2020-05-14,9003,2020.848369664,6936,3.48066911818037,194.391750741,NA,153.5599936,164.75376255,831.179642025,46.114477992,165.68066867,16.40716588,5.354881301,NA,NA,423.834042114,18.60801299,NA,NA,NA,NA,NA,NA,0.860046999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103924802,NA
"17",2020-05-15,9003,2136.02759347426,7101,3.56822020630693,209.5344291,NA,157.77265674,170.90033457,887.887639862,46.32717056,190.73395404,16.720949573,5.337081444,NA,NA,432.330696256,17.9467002,NA,NA,NA,NA,0,NA,0.431304045258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104677084,NA
"18",2020-05-18,9003,2183.403916693,7873,3.39880515242651,190.619303966,NA,179.58026712,190.00559095,870.777096992,52.19709174,230.44096815,19.154770096,6.22823992,NA,NA,425.59902574,18.213279084,NA,NA,NA,NA,0.12195126,NA,0.466331675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"19",2020-05-19,9003,2313.59757434,7960,3.51630985244402,224.915076642,NA,171.02887791,188.81907072,922.103909753,49.304811908,245.07595976,18.719999688,7.11405686,NA,NA,462.084749288,23.779899045,NA,NA,NA,NA,0.04083489,NA,0.610327876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
