"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","24003","24009","24017","24031","24033","24037","25019","26099","26115","36019","36029","36033","39043","39095","39123","50011","51013","51059","51153","51510","51610"
"1",2020-04-22,11001,869.363357193,3079,1.26753398262142,20.954574774,3.084891638,19.458792627,151.198711404,494.11990539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103225848,60.642050193,63.7199553,16.458415651,38.774111376,0.848722992
"2",2020-04-23,11001,864.95859726,3222,0.990245885028144,19.539269622,3.18795042,19.2358552,145.693129746,517.89598627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.176964482,63.466885512,NA,36.864508266,0.898047742
"3",2020-04-24,11001,922.472507866405,3375,1.2603010153784,21.72133532,2.437900164,20.116453175,155.445019198,555.3123918,NA,NA,NA,NA,NA,0.081043692405,NA,NA,NA,NA,NA,59.738266482,67.200743675,NA,40.41935436,NA
"4",2020-04-26,11001,719.6816080756,3663,0.942847281125751,10.8577340431,0.8518444863,11.344694935,108.652050045,453.501214177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.670332718,45.607462252,7.6441716232,32.77161602,0.780487776
"5",2020-04-27,11001,1088.015741967,3707,1.12714962577681,23.15598096,3.531862835,22.427169084,179.407407228,643.1297932,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,68.469521988,79.866226396,22.31066094,44.99711936,0.719999976
"6",2020-04-28,11001,1188.11495356876,3804,1.06574954488464,27.009582316,3.517748764,23.114046,197.31486329,697.796494,NA,NA,NA,NA,NA,0.097806439764,NA,NA,NA,NA,NA,73.129291578,89.80632738,25.137407532,50.266436949,0.92494932
"7",2020-04-30,11001,1249.32206303645,4099,0.922011749064964,28.491046554,3.402935144,23.52191764,198.70389412,732.58325448,NA,NA,NA,0.02155834945,NA,NA,NA,NA,NA,NA,NA,81.526566048,94.903352016,25.891229601,59.53708938,0.739219704
"8",2020-05-01,11001,1525.960798816,4427,2.42558681475158,28.865094818,3.294607296,27.09182571,253.38275952,925.97259204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.89539032,117.43353072,NA,71.028608536,0.996389856
"9",2020-05-02,11001,1522.21668036733,4557,2.91786120738304,25.83413622,NA,22.4687966,248.984252892,912.68505848,NA,NA,NA,NA,NA,0.115447139332,NA,NA,NA,NA,NA,109.21963298,125.815032896,NA,76.050844872,1.043478288
"10",2020-05-03,11001,1178.15930448253,4765,1.16039221244836,21.276482787,1.2787187964,15.469212174,173.264866165,742.98332304,NA,NA,0.103708677128,NA,NA,NA,NA,NA,NA,NA,NA,85.37165164,82.497377172,NA,54.643492575,1.270471456
"11",2020-05-04,11001,1704.07421075604,4912,1.83023498676043,35.423723493,4.13241184,30.210377451,271.476655918,1009.09122312,NA,NA,NA,NA,NA,0.122334523038,NA,NA,NA,NA,NA,107.441861436,132.959381163,37.635715348,74.271976352,1.308550112
"12",2020-05-05,11001,1822.104164156,5058,1.47422439450943,36.58199808,4.519408416,32.21504672,305.201266417,1059.42188256,1.90658981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.29920384,142.416349049,41.78124267,86.502749586,1.258427008
"13",2020-05-06,11001,1780.957930995,5184,1.12987729154123,34.616734233,4.819031602,31.756172256,289.229572947,1055.29869456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.90243632,140.589654442,36.07295073,79.405357185,1.26732672
"14",2020-05-07,11001,1989.9153306,5369,1.92232679355256,40.304881437,4.723358634,32.815467975,333.746895284,1165.8592256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.348734036,155.130301332,43.774823603,95.211642699,NA
"15",2020-05-08,11001,2005.086420557,5595,1.4610084779198,41.4430851,3.91997178,32.394570152,353.280125445,1192.40927682,NA,NA,NA,NA,NA,0.134434419,NA,NA,NA,NA,NA,117.54299664,161.403902921,NA,101.1661417,1.39191558
"16",2020-05-09,11001,1812.92333106198,5791,2.31731532232861,29.49039841,NA,27.692525224,294.589549722,1114.82719848,NA,NA,NA,NA,NA,0.28201882398,NA,NA,NA,NA,NA,117.637985496,139.47295996,NA,88.014028272,0.916666674
"17",2020-05-10,11001,1786.4281867355,5949,2.47541256054692,29.85648347,1.8843830265,28.129409954,293.99045104,1101.99362981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.967661373,134.448176377,NA,86.634914734,1.523076951
"18",2020-05-11,11001,2198.667490949,6061,1.30487054903817,43.143288192,6.333333138,38.161935162,372.398763936,1278.1976504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.625076366,182.06283788,54.178582692,100.299112758,1.266910425
"19",2020-05-12,11001,2204.50765474414,6149,1.1146737386245,41.468730133,4.639175244,37.091717864,367.085669364,1262.2336785,NA,NA,NA,0.029673043143,NA,0,NA,NA,NA,NA,NA,127.99567485,189.992943693,55.97737006,116.4187101,1.574311893
"20",2020-05-13,11001,2417.136319673,6234,1.64202701471263,45.886359936,5.888389671,35.810971196,401.65782837,1372.0811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.0491477,209.771146676,68.250648524,128.54919896,2.19152864
"21",2020-05-14,11001,2458.99810552773,6378,1.48496505079014,46.479026448,5.976039592,34.505082678,437.392020754,1370.18388014,NA,NA,NA,NA,0,0.143343297729,NA,NA,NA,NA,NA,152.60759712,219.628466508,68.00852061,123.013522365,1.060606015
"22",2020-05-15,11001,2664.374286946,6503,2.73545111441619,48.965388096,NA,37.554799872,470.30281941,1552.0330134,NA,NA,NA,NA,NA,0.575074986,NA,NA,NA,NA,NA,167.85155541,252.401564888,NA,133.144760804,1.54531008
"23",2020-05-16,11001,2436.73710485255,6667,3.0492551413955,38.6814407,NA,32.977501476,409.629561666,1415.34685557,NA,NA,NA,NA,NA,0.304232606553,NA,NA,NA,NA,NA,171.60903082,223.288871028,NA,142.69030858,2.209302406
"24",2020-05-17,11001,1993.07348127947,6740,1.47113128292756,34.59515445,2.523221964,28.812017042,302.39334909,1202.07732687,NA,NA,NA,NA,NA,0.320957321466,NA,NA,NA,NA,NA,135.43658832,168.910894252,NA,115.71825769,2.28571428
"25",2020-05-18,11001,2597.600272975,6878,1.41617255163978,54.929599389,6.613750672,42.597411395,453.45303298,1526.67525024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.574887225,238.675772714,NA,129.3287436,1.75182476
"26",2020-05-19,11001,2936.007168029,7034,1.69608642172182,52.850950132,6.47343345,43.843897344,535.832387186,1665.17174565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.2139289,258.69290664,70.070381667,141.92703514,1.93050192
"27",2020-05-20,11001,3047.431961402,7144,2.1567666033192,57.147056656,6.589350215,44.957035626,538.371656747,1735.74497112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.60316244,264.749691402,74.651219475,151.355227704,1.262590017
"28",2020-05-21,11001,3035.332991161,7376,1.68110065850503,53.22241866,6.67395901,43.753805098,543.60384904,1780.6150604,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,169.04577636,275.875458237,NA,160.517973,2.024691356
"29",2020-05-22,11001,3028.456824849,7475,2.57357184294014,51.811033472,NA,44.470586573,552.246534216,1773.80028,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,184.24963488,274.926879008,NA,146.9518767,NA
"30",2020-05-23,11001,2867.094703621,7539,3.13281079887959,44.172885492,NA,35.8720983,494.938164735,1676.4150528,NA,NA,NA,NA,NA,0.884546656,NA,NA,NA,NA,NA,190.34207961,266.388760326,NA,156.41444898,1.666666722
"31",2020-05-24,11001,2475.720530538,7678,2.39458823501139,39.090521454,NA,31.51137632,421.180415704,1441.60741117,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,180.87219825,226.81858445,NA,134.64002319,NA
"32",2020-05-25,11001,2604.9636836986,7785,2.60026265079622,41.2651776,2.3560723626,34.840701152,442.591547382,1535.6964024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.623538348,241.341985941,NA,133.744762008,1.503496505
