"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","10001","10003","10005","24011","24015","24019","24029","24035","24039","24041","24045","24047","26115","27137","34015","34033","36019","36029","36033","36063","36089","39043","39095","39123","42029","42045","42101","50011","51001","51131"
"1",2020-04-22,10003,414.903764781,1314,3.17300084146518,59.3825972,NA,26.570842746,NA,25.47699561,NA,2.953125035,NA,NA,NA,NA,NA,0,NA,NA,10.571791616,NA,0,NA,NA,NA,NA,NA,NA,34.060667166,141.14943549,114.738309918,NA,NA,NA
"2",2020-04-23,10003,439.098185722738,1349,2.66086933945037,64.85305388,NA,27.91429442,NA,25.4396997,NA,4.375893942,NA,NA,NA,NA,NA,NA,NA,NA,11.94094085,0,0.155822391738,NA,0.034573201,NA,NA,NA,NA,35.099462182,146.950932751,122.333512405,NA,NA,NA
"3",2020-04-24,10003,470.20615762351,1441,2.92566096294819,63.98824401,NA,24.280832472,NA,24.9165006,NA,4.33771494,0.70785472,NA,NA,NA,NA,NA,NA,NA,12.972171788,0.02261188251,0,NA,NA,NA,NA,NA,NA,36.602359059,166.37987982,135.997988332,NA,NA,NA
"4",2020-04-25,10003,520.6787698085,1452,3.29295384944148,65.65071084,NA,29.102493336,NA,27.59778759,NA,6.73684224,1.106594391,NA,NA,NA,NA,NA,NA,NA,13.117691637,0.0233754005,NA,NA,NA,NA,NA,NA,NA,40.357819192,188.679533706,148.305921476,NA,NA,NA
"5",2020-04-26,10003,386.1068007092,1544,1.11580952754736,47.231684505,NA,38.451304746,NA,22.98636708,NA,3.18181812,NA,NA,NA,NA,NA,NA,NA,NA,10.1530611,0,NA,NA,NA,NA,NA,NA,NA,29.283303585,130.28661328,104.5326482932,NA,NA,NA
"6",2020-04-27,10003,492.3961927181,1572,2.67901755154861,73.73105921,NA,42.16171575,NA,30.48423718,NA,5.149897236,NA,NA,NA,NA,NA,NA,NA,NA,15.90245762,0.0526315911,0,NA,NA,NA,NA,NA,NA,38.524724865,153.719887794,132.669581472,NA,NA,NA
"7",2020-04-28,10003,554.13848039645,1638,3.2314258900379,82.4420796,NA,46.802387721,NA,31.67003529,NA,5.631268503,NA,NA,NA,NA,NA,NA,NA,NA,21.94522169,0.05181346445,0.19561575,NA,NA,NA,NA,NA,NA,45.602641772,181.842374948,137.955041658,NA,NA,NA
"8",2020-04-30,10003,582.401486141,1666,2.38036847260869,87.13321998,NA,46.53761528,NA,30.73314975,NA,5.917003888,NA,NA,NA,NA,NA,NA,NA,NA,16.845340902,NA,0.311839526,NA,NA,NA,NA,NA,NA,48.121827424,176.55083611,170.250653281,NA,NA,NA
"9",2020-05-01,10003,668.979108755,1759,3.42326298204531,93.96320584,NA,49.34649256,NA,34.90495008,NA,8.27592544,NA,NA,NA,NA,NA,NA,NA,NA,21.338125384,NA,0.32587883,NA,NA,NA,NA,NA,NA,52.937052549,218.450155616,189.437322456,NA,NA,NA
