"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","1003","1005","1013","1031","1035","1039","1041","1045","1053","1061","1067","1069","1097","1099","1109","1113","2110","12001","12003","12005","12007","12009","12011","12013","12015","12017","12019","12021","12023","12027","12029","12031","12033","12035","12039","12041","12043","12047","12049","12051","12053","12055","12057","12059","12061","12063","12065","12069","12071","12073","12075","12077","12079","12081","12083","12085","12086","12087","12089","12091","12093","12095","12097","12099","12101","12103","12105","12107","12109","12111","12113","12115","12117","12119","12121","12123","12125","12127","12129","12131","12133","13003","13007","13021","13025","13027","13039","13049","13065","13069","13071","13087","13099","13101","13127","13131","13185","13201","13205","13229","13253","13275","13299","15003","15007","25019","26099","26115","26147","26163","27031","27137","30101","36019","36029","36033","36063","36089","39043","39095","39123","50011"
"1",2020-04-22,12033,50.53346888,408,3.68582992758124,7.504968708,NA,NA,NA,NA,NA,NA,NA,2.6409211,NA,NA,NA,NA,0.197352592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62035112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.56987536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-04-23,12033,50.131687829,410,3.3401847035233,6.83821096,NA,NA,NA,0.269509986,NA,NA,NA,2.8076684,NA,NA,NA,5.993022321,0.150000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.036563204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.03671295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-04-24,12033,63.985443472,423,3.77511166556663,9.530566704,NA,NA,NA,NA,NA,NA,NA,3.34322415,NA,NA,NA,8.91872219,0.18724401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.052965488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.95272093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-04-25,12033,65.715633678,431,3.63989197137583,11.772740016,NA,NA,NA,0.391923981,NA,NA,NA,3.80231502,NA,NA,NA,9.664112745,0.1879037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.781757106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.11488111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-04-26,12033,53.8231614402,446,3.41288031377848,10.55840925,NA,NA,NA,NA,NA,NA,NA,3.89576136,NA,NA,NA,7.2462708612,0.218543061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.464281138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.43989577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-04-27,12033,66.1934839933,459,3.67362649325866,10.68596793,NA,NA,NA,NA,NA,NA,NA,4.170479,NA,NA,NA,8.8872413333,0.25641026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77272467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4206608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-04-28,12033,68.506252104,474,3.70242191986024,10.760637216,NA,NA,NA,0.327272715,NA,NA,NA,4.21949788,NA,NA,NA,9.495922608,0.221341461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.542265984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.93931424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-04-30,12033,72.251039864,495,3.75174007326634,10.943186382,NA,NA,NA,NA,NA,NA,NA,4.54874589,NA,NA,NA,11.094931238,0.315018324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71345395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.63570408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-05-01,12033,87.872817375,520,3.85725456786345,12.106629171,NA,1.53256704,NA,0.445296186,NA,NA,NA,5.08032243,NA,NA,NA,16.0048182,0.248080332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.217280016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.237824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-05-02,12033,91.809409407,525,3.76734888998438,15.556723638,NA,NA,NA,0.569775357,NA,NA,NA,6.04095772,NA,NA,NA,19.815231612,0.374325132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.852895048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5995009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-05-03,12033,74.442168017,580,3.57038277553829,13.766247834,NA,NA,NA,0.53586801,NA,NA,NA,5.45501223,NA,NA,NA,12.4806924,0.387096768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.497477055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.31977372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
