"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","2110","5003","5017","5027","5081","5113","5139","15007","22001","22003","22005","22007","22009","22011","22013","22015","22017","22019","22021","22025","22027","22029","22031","22033","22035","22037","22039","22041","22043","22045","22047","22049","22051","22053","22055","22057","22059","22061","22063","22065","22067","22069","22071","22073","22075","22077","22079","22081","22083","22085","22087","22089","22091","22093","22095","22097","22099","22101","22103","22105","22107","22109","22111","22113","22115","22117","22119","22121","22123","22125","22127","26099","26115","26147","27137","28001","28005","28021","28037","28045","28047","28049","28055","28063","28085","28091","28109","28113","28121","28147","28149","28157","36029","39043","39095","48067","48113","48201","48203","48243","48245","48361","48365","48419","50011"
"1",2020-05-12,22079,68.539568007,363,3.80971815932358,0,NA,NA,NA,NA,NA,NA,NA,NA,12.5628136,NA,NA,14.94892688,NA,NA,NA,NA,NA,NA,8.238213472,NA,1.418181765,NA,NA,NA,NA,4.29275499,NA,9.05769248,NA,NA,NA,NA,NA,NA,NA,4.02678573,NA,NA,NA,NA,8.308553162,NA,NA,NA,NA,NA,NA,NA,0.489861252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.175166256,NA,NA,NA,NA,NA,4.02061842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-04-22,22067,26.9647074,37,3.56594378949192,NA,0.756070016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21680217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.759396012,NA,NA,NA,NA,1.628530302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2846264,NA,NA,NA,NA,NA,0.3192825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-04-23,22067,29.202010642,41,3.77581523545587,NA,0.797134663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2225131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.307244626,NA,NA,NA,NA,1.624472505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.928473792,NA,NA,NA,NA,NA,0.322171956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-04-24,22067,35.281418073,42,3.82504122140694,NA,0.721832865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.269503554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.200460184,NA,NA,NA,NA,1.948831171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.795415863,NA,NA,NA,NA,NA,0.345374436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-04-25,22067,35.066574265,42,3.68092661834367,NA,0.780445965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229508196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.941089848,NA,NA,NA,NA,1.95872424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.864484096,NA,NA,NA,NA,NA,0.29232192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-04-26,22067,31.14679561,42,3.53944643846832,NA,0.551423574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208695666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.507782906,NA,NA,NA,NA,1.586379456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.059431296,NA,NA,NA,NA,NA,0.233082712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-04-27,22067,35.082368434,44,3.80651092604997,NA,0.681481476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265927968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.238497642,NA,NA,NA,NA,1.703322296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.863468712,NA,NA,NA,NA,NA,0.32967034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-04-28,22067,35.175926121,44,3.6936863011938,NA,0.743071589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.430107536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.102901535,NA,NA,NA,NA,2.291066245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.30943402,NA,NA,NA,NA,NA,0.299345196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-04-30,22067,43.0731154,48,3.86252930899398,NA,1.00688472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40052358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.44594929,NA,NA,NA,NA,2.498378884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.346733694,NA,NA,NA,NA,NA,0.374645232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-05-01,22067,47.345253006,48,4.00267397692313,NA,1.284341456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569086632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.118280378,NA,NA,NA,NA,3.52941171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44340423,NA,NA,NA,NA,NA,0.4007286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-05-02,22067,51.729086168,50,3.83494650885384,NA,1.114982608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654929595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.29662885,NA,NA,NA,NA,3.793539243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.444444472,NA,NA,NA,NA,NA,0.4245614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
