"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","2110","10001","10003","10005","11001","24001","24003","24005","24009","24011","24013","24015","24017","24019","24021","24025","24027","24029","24031","24033","24035","24037","24039","24041","24043","24045","24047","24510","25007","25019","26099","26115","26163","27031","27137","36019","36029","36033","36063","36089","39043","39095","39123","42001","42009","42029","42055","42071","42111","42133","50011","51001","51013","51059","51099","51107","51131","51133","51193","51510","51610","54003","54027","54031","54037","54057"
"1",2020-05-10,24025,454.658306909,580,3.51704322045742,0,NA,NA,NA,NA,NA,25.120043748,273.476434911,NA,NA,NA,23.76478415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1504937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1465504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-04-22,24011,42.893565259,41,3.89089077910485,NA,7.724165016,NA,19.983028674,NA,NA,3.74188815,NA,NA,NA,NA,NA,NA,2.674377162,NA,NA,NA,1.45833338,NA,NA,1.910126122,NA,NA,3.29488368,NA,2.106763075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-04-23,24011,47.334889281262,50,3.75947692644368,NA,7.763353964,NA,20.39452396,NA,NA,4.367071458,NA,NA,NA,NA,NA,NA,3.13882341,NA,NA,NA,2.960163423,NA,NA,2.206028696,NA,NA,3.75877584,NA,2.6682362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077912330262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-04-24,24011,48.809298212,55,3.71785831295552,NA,8.946353427,NA,20.386736596,NA,NA,3.880500209,NA,NA,NA,NA,NA,NA,3.4486803,NA,NA,NA,2.43174919,NA,NA,3.31574052,NA,NA,3.38616586,NA,3.01337211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-04-25,24011,48.113020226,61,3.77415477468779,NA,10.932535746,NA,18.47585736,NA,NA,4.89783872,NA,NA,NA,NA,NA,NA,3.59144892,NA,NA,NA,2.143540608,NA,NA,3.718157142,NA,NA,4.35364173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-04-26,24011,43.035320615,63,1.96696715173178,NA,8.225742492,NA,21.836543436,NA,NA,2.510121089,NA,NA,NA,NA,NA,NA,4.235932228,NA,NA,NA,NA,NA,NA,2.13435965,NA,NA,4.09262172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-04-27,24011,59.7292987,68,3.71511146604144,NA,9.143939685,NA,26.94545705,NA,NA,4.426084593,NA,NA,NA,NA,NA,NA,5.02484073,NA,NA,NA,2.168377926,NA,NA,3.170486604,NA,NA,4.68117969,NA,4.168932422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-04-28,24011,66.4472677034,69,3.79518907041141,NA,12.444086835,NA,27.448016952,NA,NA,5.8716477064,NA,NA,NA,NA,NA,NA,5.501814,NA,NA,NA,2.510324397,NA,NA,3.801818358,NA,NA,4.87366572,NA,3.995893735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-04-30,24011,73.5516783664,71,3.6805717419187,NA,10.73644891,NA,32.903546078,NA,NA,6.7525558174,NA,NA,NA,NA,NA,NA,5.40506309,NA,NA,NA,2.471660014,NA,NA,3.334572522,NA,NA,5.57704482,NA,6.370787115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
