"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","15007","23031","25007","25009","25011","25017","25019","25027","26115","33001","33003","33005","33009","33011","33013","33015","33017","33019","36019","36029","36033","36063","36089","39043","39095","50011","50021","50023","50025","50027"
"1",2020-05-02,33015,1518.72631291533,812,3.51216630752846,0,12.7708112,NA,994.6875688,NA,341.23725875,NA,NA,NA,1.58263179,1.158512704,NA,NA,123.85272874,18.37819984,NA,24.83806916,NA,NA,0.115447139332,NA,NA,NA,NA,NA,0.105084792,NA,NA,NA,NA
"2",2020-04-22,33015,749.373581952,518,2.73892299094759,NA,10.687187661,NA,447.174128076,NA,186.72648309,NA,NA,NA,1.246496328,0.81287049,NA,NA,73.66661799,9.215564505,NA,19.6182493,NA,NA,0.225984512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-04-23,33015,851.75953381485,550,3.19626743009291,NA,11.360053648,NA,521.096559288,NA,201.33266868,NA,NA,NA,1.320207224,1.01652894,NA,NA,83.16189113,9.769413644,NA,22.63091637,NA,0.0225564,NA,NA,NA,NA,NA,NA,0.04873849085,NA,NA,NA,NA
"4",2020-04-24,33015,954.126684752405,567,3.15121134535151,NA,11.266548896,NA,613.171725612,NA,210.206366337,NA,NA,NA,1.4256825,1.01714283,NA,NA,83.52932163,10.741381455,NA,22.6874718,NA,NA,0.081043692405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-04-25,33015,1137.573100103,592,3.42477407558399,NA,11.81195268,NA,724.0795866,NA,273.76862236,NA,NA,NA,1.340502589,1.05512346,NA,NA,90.71226372,12.589083039,NA,21.94942998,NA,NA,0.266535675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-04-26,33015,858.90304381086,618,1.59362237348629,NA,8.832403755,NA,579.220805831,NA,170.194767166,NA,NA,NA,1.358565793,1.44736839,NA,NA,70.270283586,9.266186664,NA,17.95827,NA,NA,0.301469515,NA,NA,NA,NA,NA,0.05292311086,NA,NA,NA,NA
"7",2020-04-27,33015,880.673768613736,642,1.71093745455827,NA,11.629392831,NA,550.793109215,NA,196.776881958,NA,NA,NA,1.565712715,1.202291786,NA,NA,86.75791508,10.200430848,NA,21.62637444,NA,0.02631579555,0.095343945186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-04-28,33015,1049.33446700717,663,3.25919052905522,NA,12.702010711,NA,647.196939825,NA,245.766867508,NA,NA,NA,1.5512959,0.97908664,NA,NA,104.43365598,13.33880136,NA,23.0868715,NA,0.02590675945,0.19561575,0.008991654,NA,NA,NA,NA,0.04842341972,NA,NA,NA,NA
"9",2020-04-30,33015,1157.863604576,676,2.84316565392742,NA,13.406250528,NA,722.09497395,NA,269.165884512,NA,NA,NA,1.741709364,1.357567996,NA,NA,108.03411327,16.293248466,NA,25.61796322,NA,0.05200943,NA,NA,NA,NA,NA,NA,0.09988384,NA,NA,NA,NA
"10",2020-05-01,33015,1308.44386619443,763,3.37144694409629,NA,13.277802318,NA,831.589096968,NA,300.109800288,NA,NA,NA,1.411368811,1.006823296,NA,NA,118.60043769,17.091316424,NA,25.1713035,NA,0.02566413543,0,NA,NA,NA,NA,NA,0.160252764,NA,NA,NA,NA
"11",2020-05-03,33015,1373.33603547989,846,3.31146285502928,NA,12.762402224,NA,886.724414049,NA,300.03077927,NA,NA,NA,2.712453783,2.284196608,NA,1.737704799,124.0087002,19.186097088,NA,23.7682894,NA,NA,0.120998058888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-05-04,33015,1384.5752068,862,3.41724965063098,NA,15.8665464,NA,872.024919129,NA,304.06705524,NA,NA,NA,2.8721726,2.272175004,NA,NA,136.68477968,20.27764931,NA,30.14290237,NA,NA,0.367007067,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"13",2020-05-05,33015,1484.017601225,872,3.47018846880167,NA,16.032825312,NA,934.603901564,NA,338.040318336,NA,NA,NA,1.90978632,1.517355366,NA,NA,140.4853225,20.82176481,NA,29.94863664,NA,NA,0.491612681,NA,NA,NA,NA,NA,0.166077696,NA,NA,NA,NA
"14",2020-05-06,33015,1521.169804251,887,3.50778916784043,NA,16.080432582,NA,947.439751509,NA,345.321735363,NA,NA,NA,2.014481536,1.379310266,NA,NA,155.06657265,21.6054552,NA,31.88245487,NA,NA,0.379610275,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"15",2020-05-07,33015,1590.696208196,905,3.5483416082474,NA,16.912680455,NA,997.886220144,NA,355.360068978,NA,NA,NA,1.91006634,1.35327633,NA,NA,162.11989908,21.79065914,NA,32.36335164,NA,NA,0.785863113,NA,NA,NA,NA,NA,0.214122976,NA,NA,NA,NA
"16",2020-05-08,33015,1765.43180242514,921,3.64358871338342,NA,19.087822985,NA,1112.7078426,NA,394.485819336,NA,NA,NA,1.982481732,1.320489036,NA,NA,178.06234005,23.26587224,NA,34.15505877,NA,0.0317748207,0.268872758727,0.01067839683,NA,NA,NA,NA,0.05274969988,NA,NA,NA,NA
"17",2020-05-09,33015,1813.63740833002,936,3.27720746438202,NA,16.837262128,NA,1179.75666414,NA,408.868833778,NA,NA,NA,1.4027398,0.963400248,NA,NA,158.06742644,20.1917769,NA,27.4082935,NA,NA,0.14101139602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-05-10,33015,1726.99895688951,950,3.45411944017113,NA,15.596821548,NA,1104.68111214,NA,388.589853516,NA,NA,NA,2.167242252,1.617331235,NA,1.507279455,159.80895888,21.780161172,NA,30.54613992,0.224986476,0.03500244,0.432934912,0.01113294351,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-05-11,33015,1697.047540428,966,3.33776700922031,NA,19.203340054,NA,1054.081045771,NA,382.313588937,NA,NA,NA,2.628212116,1.861733588,NA,NA,175.67825184,22.934552568,NA,37.62427456,NA,NA,0.722540994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
