"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","36061","2110","10003","15001","15003","15009","25019","26099","26115","26147","26163","27137","34001","34003","34005","34007","34009","34011","34013","34015","34017","34019","34021","34023","34025","34027","34029","34031","34033","34035","34037","34039","34041","36019","36029","36033","36063","36071","36087","36089","36105","39043","39095","39123","42017","42029","42045","42077","42089","42091","42095","42101","42103","50011"
"1",2020-04-22,34003,9432.58080724518,12810,1.39582608335107,3513.561646777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707.702071883,NA,1487.83666955,NA,NA,NA,NA,186.23736297,NA,1875.11310805,NA,NA,18.286329262,284.883979562,NA,0.05120775306,0.150657758122,NA,NA,163.02734932,1195.73042436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-04-23,34003,9329.355834116,13142,1.20487799286425,3270.859596147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710.030173875,NA,1538.5995684,NA,NA,NA,NA,184.186398924,NA,1977.93727224,NA,NA,18.864052038,291.78622714,NA,0.0451128,NA,NA,NA,146.352213352,1190.6952192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-04-24,34003,9475.69163041911,13429,1.15828950520341,3428.64907827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712.462407885,NA,1556.6327044,NA,NA,NA,NA,172.695199168,NA,1955.3655976,NA,NA,17.721234891,298.309279838,NA,0.02261188251,0.162089782595,NA,NA,154.292401522,1179.37902518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-04-25,34003,10241.9619972314,13784,2.48021785770784,3941.955765356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696.809120329,NA,1586.83035115,NA,NA,NA,NA,160.908358488,NA,1995.36759942,NA,NA,15.372077616,NA,NA,0.0233754005,0.08884521985,NA,NA,192.558826712,1652.04767754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-04-26,34003,7104.43041966624,14010,0.88837632464509,2548.613535932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459.1840896,NA,1126.284962682,NA,NA,NA,NA,119.414692625,NA,1513.56669716,NA,NA,14.497194565,129.582502268,NA,NA,0.200981516241,NA,NA,116.01341884,1077.072344478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-04-27,34003,9614.958652848,14144,1.12089248072252,3333.24007614,NA,NA,NA,NA,NA,NA,NA,0.040806817,NA,NA,NA,NA,NA,NA,NA,NA,NA,691.006720397,NA,1560.61899708,NA,NA,NA,NA,175.851419975,NA,2122.75589001,NA,NA,21.980057355,295.649753916,NA,0,0.381378606,NA,NA,177.562626052,1235.8709265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-04-28,34003,11074.2953225385,14249,2.04106508638702,3732.534465792,NA,NA,NA,NA,NA,NA,NA,0.020452170795,NA,NA,NA,NA,NA,NA,NA,NA,NA,826.345542,NA,1813.13012265,NA,NA,NA,NA,204.799442347,NA,2411.6057952,NA,NA,25.721081565,324.7080265,NA,0.10362693,0.3912315,0.008991654,NA,206.59065465,1528.28746616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04842341972
"8",2020-04-30,34003,10913.5162918592,14474,1.06244611088958,3843.093666321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833.950537904,NA,1760.83423152,NA,NA,NA,NA,204.087822492,NA,2400.4549078,NA,NA,23.243717036,345.312079344,NA,0,0.207890978947,0.00965872455,0.199425387,189.47587099,1312.59654144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04994192172
"9",2020-05-01,34003,11807.722469295,14643,1.78638086359677,4200.244981499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840.021051114,NA,1900.8880058,NA,NA,NA,NA,207.775004664,NA,2571.3517998,NA,NA,20.275244626,344.15154309,NA,NA,0.32587883,NA,NA,202.157316982,1520.53164289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-05-02,34003,13085.2397344233,14772,2.93661039217528,4999.818804832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,881.502297831,NA,2142.42739501,NA,NA,NA,NA,207.897458288,NA,2682.75480452,NA,NA,21.555951685,NA,NA,0.026728082,0.115447139332,NA,NA,226.980630416,1922.16021662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
