"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","4001","4003","4005","4013","4015","4017","4025","6029","6037","6071","8001","8005","8013","8031","8033","8035","8041","8059","8067","8069","8083","8101","8113","8123","15007","20199","30033","30071","32009","35001","35005","35006","35009","35013","35015","35019","35025","35029","35031","35033","35035","35039","35041","35043","35045","35049","35053","35055","35057","35061","36029","40017","48017","48069","48109","48117","48141","48243","48303","48369","48371","48375","48381","48421","48435","48443","49019","49037"
"1",2020-04-30,35001,324.097372879,776,3.52132855709284,10.882292342,NA,7.1733639,NA,NA,19.14127353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221374041,7.12110728,NA,NA,NA,1.77119796,NA,NA,78.007257216,NA,NA,0.63581833,NA,152.96833192,7.647164928,15.913844,5.61086,0.610552782,3.42890805,12.9640266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-05-02,35001,318.042671726,845,3.4879032870685,9.287074074,NA,NA,NA,NA,21.285714605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2299099,7.619772,NA,NA,NA,1.85342794,NA,NA,70.743236904,NA,NA,1.18167456,NA,157.15915158,8.419279878,17.50074987,5.52269385,0.833130335,3.25,13.15685623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-05-03,35001,265.872011692,880,3.22702505286818,10.4274404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27693446,7.77408645,NA,NA,NA,1.97164935,NA,NA,59.681620507,NA,NA,1.969428768,NA,140.05514478,6.462163183,14.40477335,5.0737463,0.89775562,3.2048928,10.41250049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.259875234
"4",2020-05-05,35001,374.291139006,921,3.5803127838091,13.885254083,NA,7.57812509,NA,NA,22.380530496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270168864,12.12500015,NA,NA,NA,1.68181815,NA,NA,85.795794661,NA,NA,1.454545488,NA,173.47223712,11.685863664,18.49520088,5.46118716,1.00396306,3.67309242,15.32835772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-05-06,35001,391.6668554062,937,3.57828345983037,20.723415295,NA,8.8550064,NA,NA,25.588839066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.76399016,NA,NA,NA,1.8352059,NA,NA,92.711512188,NA,NA,1.434094896,NA,176.49343756,7.1334091612,19.01405701,6.109375,1.02902376,3.85952921,16.1159598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-05-08,35001,438.524007927,985,3.64976861002754,16.892570202,NA,NA,NA,NA,25.78877665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.81803812,NA,NA,NA,1.87250985,NA,NA,123.523131328,NA,NA,1.575364707,NA,194.22181446,13.912851,20.17185937,5.638266,0.53927318,3.89885072,16.67070234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-05-12,35001,383.058306914,1061,3.46019404451238,12.067446436,NA,7.105366484,NA,NA,16.879159696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308308308,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.321922796,12.51580885,NA,NA,NA,1.694785318,NA,NA,91.07585058,NA,NA,1.73661852,NA,180.36392055,11.58298955,18.2746102,5.35522386,0.970037439,3.5568369,15.67861512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.570806307
"8",2020-05-13,35001,443.782190415,1071,3.60259499950498,21.097122025,NA,NA,NA,NA,29.696028138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351128624,12.99269971,NA,NA,NA,2.19771869,NA,NA,119.797763904,NA,NA,1.930212732,NA,196.79392915,12.237003084,18.37116045,6.01436752,1.102827748,3.34177228,17.85845636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-05-15,35001,478.949527002,1124,3.71872523543763,18.896769146,NA,NA,NA,NA,25.630904603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373205728,14.68420992,NA,NA,NA,2.66817665,NA,NA,135.275589726,NA,NA,1.81818186,NA,208.70487427,17.3781174,21.37826589,6.8292684,0.991841489,3.81457424,20.50554768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-05-19,35001,480.066391277,1166,3.66050876431476,17.045140474,NA,NA,NA,NA,26.557633896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437971949,15.19509992,NA,NA,NA,2.42764007,NA,NA,119.095993872,NA,NA,2.293220424,NA,217.80860268,19.229223552,22.39602696,6.41940075,0.78960398,4.4790048,20.40745295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.484375
"11",2020-05-22,35001,584.048211171,1247,3.78788341105195,24.360791256,NA,NA,NA,NA,29.338382775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.74502024,NA,NA,NA,3.08049888,NA,NA,177.227635853,NA,NA,2.371104972,NA,243.48884565,24.866534069,24.7649409,6.6971277,0.707211076,4.30379748,23.09632032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-05-27,35001,610.698722466,1314,3.72661405069256,29.795521104,NA,NA,NA,NA,45.17151969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52259888,20.8836423,NA,NA,NA,2.4611398,NA,NA,174.262461622,NA,NA,2.13201318,NA,246.3363,26.223414184,24.18445668,6.06666645,0.885993456,7.72830208,24.04469304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-05-28,35001,610.072983536,1364,3.73230714002866,38.349695122,NA,NA,NA,NA,44.96646636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53825859,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5988858,17.5296471,NA,NA,NA,2.5277162,NA,NA,160.295829876,NA,NA,2.3960066,NA,244.0666589,34.329217356,23.8422933,7.2258065,1.214875992,7.40437952,24.78724632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
