"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","2060","4005","4013","4015","4021","4025","6017","6027","6029","6037","6049","6051","6057","6059","6061","6065","6067","6071","6077","6089","8057","8077","15001","15003","15007","15009","16001","16027","16033","26099","26115","26147","26163","27137","30069","30101","32003","32005","32007","32009","32013","32015","32019","32023","32031","32510","36019","36029","41017","41033","41035","41045","48141","49001","49015","49017","49019","49021","49023","49025","49027","49031","49035","49041","49045","49053","53073","56007","56037","56041"
"1",2020-05-20,32003,140.1950428547,5336,3.71311521007616,NA,NA,9.659741931,21.13207474,NA,NA,NA,NA,NA,52.14107886,NA,NA,NA,NA,NA,12.3312287654,NA,34.4053504283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.52556813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-05-21,32003,172.644575867,5414,3.72530148471927,NA,NA,10.929693588,22.931283108,NA,NA,NA,NA,NA,71.633387795,NA,NA,NA,NA,NA,15.233683216,NA,40.7101411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.20638706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-05-22,32003,257.576118334348,5493,3.76144656933009,NA,NA,13.580067126,22.732623975,NA,NA,NA,NA,NA,116.6587835673,NA,NA,NA,13.0831008217,NA,25.0622237754,NA,56.085347152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.21254836,NA,NA,NA,0.161423556948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-05-23,32003,286.158840411258,5493,3.66257692020388,NA,NA,14.183123706,30.04998193,NA,NA,NA,NA,NA,127.9589254281,NA,NA,NA,14.514572721,NA,26.0350782426,NA,63.783074418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033778965558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.600305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-05-24,32003,179.409378964046,5818,3.498786351701,NA,NA,NA,36.0645426,NA,NA,NA,NA,NA,85.1524553759,NA,NA,NA,NA,NA,NA,NA,47.637303811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.37433936,NA,NA,NA,0.180737817146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-05-25,32003,187.71420410844,5853,3.50781706838744,NA,NA,NA,37.4979912,NA,NA,NA,NA,NA,88.802170942,NA,NA,NA,NA,NA,NA,NA,49.309405996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.74941496,NA,NA,NA,0.35522101044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-05-26,32003,197.0763921106,5897,3.71699510143723,NA,NA,15.4080130176,33.62341748,NA,NA,NA,NA,NA,86.418243,NA,NA,NA,NA,NA,NA,NA,48.737829853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.88888876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-05-27,32003,187.0730919363,5956,3.73772365092817,NA,NA,13.52906656,29.238952347,NA,NA,NA,NA,NA,71.378440176,NA,NA,NA,NA,NA,17.211318492,NA,42.6539079054,NA,NA,NA,0.3699857679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.168525,NA,NA,NA,0.522895688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-05-28,32003,204.264777216736,6013,3.73553361026678,NA,NA,12.7595766027,29.29605756,NA,NA,NA,NA,NA,79.69468221,NA,NA,NA,NA,NA,20.8850942468,NA,50.418453644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.857843,NA,NA,NA,0.353069953236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
