"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","9011","9015","25005","25007","25019","25021","25023","25027","26099","26115","36019","36029","36033","36089","39123","44001","44003","44005","44007","44009","50011"
"1",2020-04-22,44009,201.7823590638,268,3.09616861290045,16.675312525,NA,8.3535608148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.21157352,7.935994404,125.6059178,NA,NA
"2",2020-04-23,44009,223.7215030905,256,3.04858236034693,17.345814786,NA,11.5312824435,NA,NA,NA,NA,NA,NA,NA,0.0225564,NA,NA,NA,NA,NA,50.19790752,7.579414791,137.04452715,NA,NA
"3",2020-04-24,44009,220.1316075091,272,2.85228788078758,18.33122325,NA,12.0229406901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.19942722,7.142206312,133.435810037,NA,NA
"4",2020-04-25,44009,258.655622041,282,3.49868013914393,22.081453135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.28141008,7.69136927,167.601389556,NA,NA
"5",2020-04-26,44009,159.094066094,292,1.31359196779462,17.202157018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,43.06558198,6.05514717,92.771179926,NA,NA
"6",2020-04-27,44009,221.261123332,303,2.19460116145388,18.731033812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.54552121,7.13630154,141.84826677,NA,NA
"7",2020-04-28,44009,290.6778408745,313,3.09181815776331,22.111222688,NA,17.3426126685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3507897,8.874597978,176.99861784,NA,NA
"8",2020-04-30,44009,302.5991907368,330,1.973685003333,21.820163904,NA,19.1721780528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.72103626,10.07682232,185.8089902,NA,NA
"9",2020-05-01,44009,331.92934976,344,3.46808209675627,26.695694388,NA,18.93908524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.46315678,10.365776745,200.465636607,NA,NA
"10",2020-05-02,44009,387.216259858,350,3.53290623225178,31.43459176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.12955125,10.943213268,248.70890358,NA,NA
"11",2020-05-03,44009,366.876834012,356,3.30719177299205,27.36779474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.94663754,9.435769796,242.126631936,NA,NA
"12",2020-05-04,44009,366.7164571808,363,3.36128294785706,28.911840204,NA,22.0660443638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.075285,9.994532079,221.668755534,NA,NA
"13",2020-05-05,44009,392.7465853175,363,3.49469340498635,30.001074,NA,20.7775173025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.18376463,9.871681351,243.912548034,NA,NA
"14",2020-05-06,44009,404.7149951476,363,3.45682832000915,32.195476233,NA,25.4833860636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.91928541,11.518041591,246.59880585,NA,NA
"15",2020-05-07,44009,406.9582957477,363,3.50419672911138,35.942842782,NA,28.6502951967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.49659245,11.894059023,239.974506296,NA,NA
"16",2020-05-08,44009,411.324035164,363,3.51892473413264,34.400902935,NA,29.38064987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.42432405,11.160915899,245.95724241,NA,NA
"17",2020-05-09,44009,338.585560691,363,3.47166617841113,39.251056866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.30365096,10.774575469,203.256277396,NA,NA
