"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","2068","13033","13051","13073","13103","13105","13119","13147","13163","13189","13241","13245","13257","15007","25007","25019","26099","26115","26147","26163","27137","36019","36029","36033","36089","37007","37017","37019","37045","37047","37051","37071","37089","37119","37123","37129","37149","37151","37153","37155","37161","37165","37167","37179","39043","39095","39123","45001","45003","45005","45007","45009","45011","45013","45015","45017","45019","45021","45023","45025","45027","45029","45031","45033","45035","45037","45039","45041","45043","45045","45047","45049","45051","45053","45055","45057","45059","45061","45063","45067","45069","45071","45073","45075","45077","45079","45081","45083","45085","45087","45089","45091","50011","51197"
"1",2020-04-27,45063,289.787192086186,322,3.82647659375971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095343945186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0915747,NA,NA,0.468129576,0.66731142,NA,NA,1.4627081,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.974306256,4.62450374,NA,NA,NA,NA,NA,NA,NA,14.133576447,NA,NA,NA,NA,NA,NA,5.0063134,NA,5.624025553,NA,231.01463842,15.7627116,NA,5.862048929,NA,NA,NA,NA,NA
"2",2020-04-22,45003,76.465251869,78,3.78051650786079,NA,2.51312835,NA,9.449357134,NA,NA,NA,NA,0.26836159,1.213557807,NA,43.262703,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345489444,NA,0.376267738,1.73547592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.133172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.311522006,NA,NA,NA,NA,NA,NA,NA,1.85621688,NA,NA,NA,NA,NA,NA,NA
"3",2020-04-23,45003,75.579415902,79,3.58634910523937,NA,2.835711582,NA,8.596179531,NA,NA,NA,NA,NA,1.3107976,NA,42.70650447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342857142,NA,0.341101684,2.0568784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6203318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.782197702,NA,NA,NA,NA,1.205989772,NA,NA,1.780866219,NA,NA,NA,NA,NA,NA,NA
"4",2020-04-24,45003,84.531981898,80,3.86841590786466,NA,3.340528424,NA,10.11669534,NA,NA,NA,NA,NA,1.36127922,NA,47.69726271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307692315,NA,0.381220651,2.0975609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.53069103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14526559,NA,NA,NA,NA,1.219532968,NA,NA,2.33425275,NA,NA,NA,NA,NA,NA,NA
"5",2020-04-25,45003,90.798259723,83,3.72783038884581,NA,4.068852556,NA,10.395504488,NA,NA,NA,NA,NA,1.23482853,NA,49.9410186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.408333338,NA,0.343558271,3.19346412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.96875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.111811575,NA,NA,NA,NA,1.361153805,NA,NA,2.77098444,NA,NA,NA,NA,NA,NA,NA
"6",2020-04-26,45003,78.548701549,83,3.50207915415126,NA,3.608963128,NA,8.936457471,NA,NA,NA,NA,NA,1.143749997,NA,41.15188368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230769245,NA,0.308654848,2.5762599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.70368436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77063182,NA,NA,NA,NA,NA,NA,NA,4.1176471,NA,NA,NA,NA,NA,NA,NA
"7",2020-04-27,45003,95.643894044,86,3.79519946098388,NA,3.555555626,NA,10.760572108,NA,NA,NA,NA,NA,1.36657432,NA,52.3359243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348605586,NA,0.39289448,3.29787225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.32168584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.324742334,NA,NA,NA,NA,NA,NA,NA,4.9394672,NA,NA,NA,NA,NA,NA,NA
"8",2020-04-28,45003,99.610929813,88,3.82113102558336,NA,3.621080372,NA,11.598340886,NA,NA,NA,NA,NA,1.51736752,NA,55.4996992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.471774177,NA,0.338414643,3.69180772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.198306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.474745455,NA,NA,NA,NA,NA,NA,NA,4.19939384,NA,NA,NA,NA,NA,NA,NA
"9",2020-04-30,45003,109.610072898,93,3.83043833893086,NA,4.374953708,NA,12.64447314,NA,NA,NA,NA,NA,1.571235374,NA,58.68084208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103945491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633333321,NA,0.49029622,4.6034816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.82819412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.438105794,NA,NA,NA,NA,NA,NA,NA,5.24121205,NA,NA,NA,NA,NA,NA,NA
