"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","8001","8031","8035","8057","8061","8069","8123","15001","15007","16001","16011","16019","16023","16033","16053","16065","20071","26115","26147","30003","30011","30025","30031","30033","30069","30071","30075","30077","30091","30101","30109","30111","31009","31049","31075","31111","31157","31185","32007","32013","32015","36029","38001","39095","39123","46007","46063","46103","49003","49009","49011","49033","49035","49043","49045","49049","49057","53047","56001","56005","56007","56009","56013","56021","56025","56037","56039","56041","56043"
"1",2020-04-23,56013,2.0941857306,59,3.40176477473805,0.177392544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257695851,NA,NA,NA,NA,NA,NA,NA,0.0296022204,0.090090096,NA,NA,0.3996978804,0.099866256,0.8467374348,NA,0.193103448
"2",2020-04-22,56021,24.421272679645,114,3.61241091254308,2.8905389583,NA,NA,NA,NA,3.6155574,14.515951888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022674854745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.357097393,0.1978586786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453488364,NA,0.21771218,0.36842104,0.329162631,NA,0.514233264,0.680403344,NA,0.258172684,NA
"3",2020-04-23,56021,25.6237145098,117,3.55415408659484,2.9092409208,NA,NA,NA,NA,3.787934311,15.682270127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264949114,0.236503848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494239614,NA,0.314523576,0.378378384,NA,NA,0.592145008,0.634864032,NA,0.328665575,NA
"4",2020-04-24,56021,33.4021140448,120,3.58526395356692,3.5981926805,5.9559835323,NA,NA,NA,4.24336458,16.844254147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303857031,0.291139244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533692716,NA,0.240875916,NA,NA,NA,0.476569394,0.628113088,NA,0.286071716,NA
"5",2020-04-25,56021,27.3331716645,124,3.48249683903407,3.5192812155,NA,NA,NA,NA,4.27932744,16.334183756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350750925,0.39039039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509554134,NA,0.279605268,NA,NA,NA,0.709527938,0.68183696,NA,0.278713638,NA
"6",2020-04-27,56021,30.9319224476,128,3.60617928032676,3.709636755,NA,NA,NA,NA,4.738441004,18.755681256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.276363645,0.437965785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641451391,NA,0.233940556,0.481313707,0.5140640766,NA,0.52751195,0.40930232,NA,0.206250002,NA
"7",2020-04-28,56021,32.9694775041,134,3.58504876689851,4.2067602621,NA,NA,NA,NA,4.84805223,20.85994656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288250482,0.309933783,0.187172777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652199384,NA,0.220385672,NA,NA,NA,0.583333338,0.592337488,NA,0.221105528,NA
"8",2020-04-30,56021,36.876732528,145,3.66051025995586,4.8059994618,NA,NA,NA,NA,5.091859104,23.040498744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447110832,0.417619662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.731277528,NA,0.246741964,0.523243248,NA,NA,0.4451934102,0.820234134,NA,0.30695444,NA
"9",2020-05-01,56021,37.4950637123,147,3.70479066982439,4.9734810453,NA,NA,NA,NA,5.818373878,22.286045868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.629471071,0.370874591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.741200808,NA,0.34970857,0.57831323,NA,NA,0.595830935,0.814720788,NA,0.337042928,NA
"10",2020-05-02,56021,37.2382712872,151,3.47520369684089,6.070292124,NA,NA,NA,NA,5.951548692,19.439052696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72551392,0.416806718,0.262454448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.706493496,NA,0.353618415,0.654152453,0.8699029632,NA,0.54088416,0.916770186,NA,0.330781016,NA
"11",2020-05-03,56021,32.6197193988,154,3.26697223074989,4.233978016,NA,NA,NA,NA,5.309563571,18.430479856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1090047326,NA,NA,NA,NA,NA,0.558603456,0.2299239052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73315364,NA,0.261496845,0.972973025,NA,NA,0.577634304,0.727193736,NA,0.280592352,0.19512196
"12",2020-05-04,56021,35.3449942783,158,3.63315721068896,5.6106667723,NA,NA,NA,NA,6.312946809,20.375423745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457737312,0.403389838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.680239496,NA,0.27749747,NA,NA,NA,0.480848544,0.502977564,NA,0.243266728,NA
"13",2020-05-05,56021,40.8352496139,162,3.6673190899006,6.2875708769,NA,NA,NA,NA,6.474224138,25.114164768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.434412254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.684642432,NA,0.298642535,NA,NA,NA,0.522660384,0.729310338,NA,0.289621888,NA
"14",2020-05-06,56021,42.8349553217,163,3.64376627950118,5.1195458427,NA,NA,NA,NA,6.620320787,26.904128917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60725553,0.408383745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.658669592,NA,0.280373825,0.625523019,NA,NA,0.68105232,0.664882656,NA,0.264819088,NA
"15",2020-05-07,56021,42.2299273878,163,3.64828550034309,5.0436673488,NA,NA,NA,NA,6.65471943,26.878028211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.649572696,0.527789745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62447256,NA,0.30131005,NA,NA,NA,0.536628432,0.744146419,NA,0.269592496,NA
"16",2020-05-08,56021,45.6463088133,163,3.70889841066802,6.7055838003,NA,NA,NA,NA,8.081868511,25.845826776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812895468,0.708505395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692713856,NA,0.30795552,0.594187313,NA,NA,0.665703552,0.862916692,NA,0.36815193,NA
"17",2020-05-09,56021,50.2186387404,163,3.56941178158569,6.4893724524,NA,NA,NA,NA,9.277221816,29.312831079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935846748,0.565872037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82235528,NA,0.31839624,0.677236702,NA,NA,0.644859792,0.794646614,NA,0.37999998,NA
"18",2020-05-11,56021,47.3753416859,166,3.61321381142621,7.4497082153,NA,NA,NA,NA,7.197638626,28.994629635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.759275176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80738176,NA,0.26027398,0.623024851,NA,NA,0.4605990336,0.5505415,NA,0.272268909,NA
"19",2020-05-12,56021,42.2704596488,170,3.574069617186,6.52587372,NA,NA,NA,NA,6.78216748,25.195586118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2200956848,NA,NA,NA,NA,NA,0.492073764,0.678819424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69061416,NA,0.25225226,NA,NA,NA,0.48582396,0.6079571,NA,0.339195978,NA
"20",2020-05-13,56021,47.6301405818,173,3.68729578330604,7.2402732688,NA,NA,NA,NA,7.360690782,28.758209368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829760419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.702355448,NA,0.31888798,0.643010747,NA,NA,0.553154688,0.8999598,NA,0.323838081,NA
"21",2020-05-14,56021,50.2480086273,173,3.67639116969666,7.3177658793,NA,NA,NA,NA,8.204605848,29.018819997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636638496,0.903010032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777377904,0.172303471,0.403199993,0.864661701,NA,NA,0.721608594,0.866067762,NA,0.36194895,NA
"22",2020-05-15,56021,63.760091864,178,3.72170822680599,8.32886946,11.60478466,NA,NA,NA,8.817387348,30.331523784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.866504841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744554464,NA,0.431703208,0.839055824,NA,NA,0.6525965,0.859444168,NA,0.283667607,NA
"23",2020-05-16,56021,58.216101444,181,3.65081654398348,7.926541209,NA,NA,NA,NA,10.098091856,31.136267084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976460352,0.923368413,NA,NA,NA,NA,NA,NA,NA,0.009395356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08744714,NA,1.140898738,0.935406665,1.619135298,NA,0.727897018,1.119018885,NA,0.51617343,NA
"24",2020-05-17,56021,46.7116061109,181,3.50126367668937,7.1965609029,NA,NA,NA,NA,8.62290468,25.872001716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559585476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94009905,NA,0.968553432,0.874109296,NA,NA,0.753216352,0.924575206,NA,NA,NA
"25",2020-05-18,56021,49.818640689421,181,3.71054576433169,8.4257029062,NA,NA,NA,NA,8.672889864,27.913296096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.570101328,NA,NA,NA,NA,NA,NA,0.062183164221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0054645,NA,0.755752242,0.745140384,NA,NA,0.740029086,0.606060603,NA,0.322020516,NA
"26",2020-05-19,56021,65.3031054531,183,3.71756487131846,8.9436068361,11.257747225,NA,NA,NA,8.772001788,30.73288461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.123623036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8626198,NA,0.71059434,0.830188656,NA,NA,0.9384704,0.79829424,NA,0.333074522,NA
"27",2020-05-20,56021,54.591559564,182,3.71163320818156,9.621530072,NA,NA,NA,NA,8.77018799,30.178780585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.75638508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86508751,NA,0.940458,1.015105776,NA,NA,0.849468378,1.1234818,NA,0.471074373,NA
